,Annee 2025,,,,,,
,Nom de l analyse,Nombre,$ANACODE (CH ANAL),B,Dhs,CPA,Bref info
1,HEMOGLOBINE GLYQUEE HBA1,6433,C  HBA1,100,110,,
2,NUMERATION FORMULE-PLAQUE,5824,H  NFS,80,88,,
3,GLYCEMIE A JEUN,4800,C  GLY,30,33,,
4,CREATININE,4191,C  CR,30,33,,
5,UREE,2750,C  U,30,33,,
6,TSH us,2727,N  TSH,250,275,,
7,CHOLESTEROL,2041,C  CHOL,30,33,,
8,TGP (ALAT),1844,EZ ALAT,50,55,,
9,TGO (ASAT),1822,EZ ASAT,50,55,,
10,CRP,1801,C  CRP,100,110,,
11,TRIGLYCERIDES,1699,C  TRIG,60,66,,
12,FERRITINE,1482,I  FERR,250,275,,
13,CHOLESTEROL HDL,1263,C  HDL,50,55,,
14,ACIDE URIQUE,1255,C  ACU,30,33,,
15,TAUX DE PROTHROMBINE,1173,HS TP,40,44,,
16,CHOLESTEROL LDL,1160,C  LDL,50,55,,
17,Temps de Cephaline Kaolin,986,HS TCK,40,44,,
18,Vitamine 25 (OH) D2 et 25,877,V  VITD,450,495,,
19,GROUPE SANGUIN RHESUS,869,T  GRS,60,66,,
20,VITESSE DE SEDIMENTATION,854,H  VS,30,33,,
21,GAMMA G.T.,781,EZ GGT,50,55,,
22,PSA (PROSTATIC SPECIFIC A,762,MT PSA,300,330,,
23,ECBU,737,B  CBU,90,99,,
25,T4 LIBRE (FT4),579,N  T4L,200,220,,
26,POTASSIUM,557,C  K,30,33,,
27,IONOGRAMME,501,C  IONO,100,110,,
28,VDRL SANGUIN,412,SE VDRL,20,22,,
29,COPROPARASITOLOGIE,396,B  CPR1,100,110,,
30,MICROALBUMINURIE,386,EU MIA,120,132,,
31,TPHA SANGUIN,381,SE TPHA,50,55,,
32,CALCIUM,373,C  CA,30,33,,
33,CHOLESTEROL LDL,369,C  LDLD,50,55,,
34,SODIUM,364,C  NA,30,33,,
35,PHOSPH ALCALINES,350,EZ PAL,50,55,,
36,HEPATITE B,340,S  HBV,120,132,,
37,HEPATITE C,322,S  HVC,300,330,,
38,TAUX DE PROTHROMBINE,308,HS TPIN,40,44,,
39,BILIRUBINE,261,C  BILI,70,77,,
40,Commentaire hémato,257,H  COM1,,0,,
41,ANTICORPS ANTI HIV,230,S  HIV,200,220,,
42,TROPONINE Ic,219,I  TROP,250,275,,
43,LIPASES,204,EZ LIPA,,0,,
44,SERO TOXOPLASMOSE,183,SE TOXO,100,110,,
45,Rapport Microalbuminurie,181,EU RAAC,150,165,,
46,SERO HEPATITE A (IGM),146,S  HVAM,250,275,,
47,RECHERCHE DES DROGUES URI,142,M  DROG,,0,,
48,ALBUMINE 24 H,142,EU A24H,,0,,
49,ALBUMINE,134,C  ALBS,60,66,,
50,HELICOBACTER PYLORI  DANS,134,B  HELE,300,330,,
51,GROUPE SANGUIN RHESUS  (g,130,T  GRSG,60,66,,
52,PHOSPHORE,125,C  P,40,44,,
53,CLAIRANCE A LA CREATININE,123,EU CLCR,50,55,,
54,RUBEOLE IgG,123,SE RUB,,0,,
55,TEST DE GROSSESSE,120,ST TG,100,110,,
56,ANTICORPS ANTI HIV (MSC),119,S  HIVM,213,"234,3",,
57,TEST RESPIRATOIRE A L'URE,118,AI TRES,545,"599,5",,
58,AC ANTI TRANSGLUTAMINASE A,114,I  TRAA,265,"291,5",,
59,ANTIBIOGRAMME B-,112,B  ATBB,,0,,
60,ANTIBIOGRAMME,109,ZB ATB,,0,,
61,TEST AU LATEX,107,C  LATX,50,55,,
62,WAALER ROSE,107,C  WR,50,55,,
63,D DIMERE,106,HS DDIM,220,242,,
64,RECHERCHE ALBUMINE,98,EU RALB,20,22,,
65,ACE,98,MT ACE,250,275,,
66,RECHERCHE SUCRE,94,EU RSUC,10,11,,
67,INSULINE,94,N  INS,300,330,,
68,ACETONE URINES,93,EU ACT,10,11,,
69,RECHERCHE DE SANG DANS LE,93,B  RSU,30,33,,
70,ANTICORPS ANTI-HELICOBACT,90,S  HELI,180,198,,
71,CALPROTECTINE DANS LES SE,90,B  CALP,545,"599,5",,
72,RECHERCHE DES  LEUCOCYTES,89,EU RLEU,10,11,,
